Expression,Mean_C,SD_C,N_Rate,N_Unknown
battery farm,3.1818181818181817,1.4012980994907414,11,7
battery pack,4.5,1.0801234497346435,10,0
battery tester,4,1.5491933384829668,11,0
batting average,3.3636363636363638,1.5015143870590966,11,2
batting cage,4.6,0.9660917830792959,10,1
batting coach,3.909090909090909,1.3751033019046572,11,0
batting gloves,4.8,0.6324555320336759,10,0
batting helmet,4.8,0.4216370213557839,10,0
batting order,3.4,1.1737877907772674,10,0
batting team,3.8,1.3165611772087666,10,0
battle ax,4.2,1.3165611772087666,10,1
battle axe,4,1.2649110640673518,11,0
battle buddy,2.9,1.1972189997378648,10,1
battle bus,3.4,1.505545305418162,10,12
battle cruiser,4.818181818181818,0.40451991747794525,11,2
battle cry,3.6,1.2649110640673518,10,1
battle damage,3.6,1.1737877907772674,10,0
battle dress,4.1,0.8755950357709131,10,4
battle fatigue,2.8,1.3165611772087666,10,0
battle fatigues,2.8,1.398411797560202,10,0
battle flag,3.8181818181818183,1.5374122295716148,11,1
battle fleet,4.1,1.1005049346146119,10,0
battle front,4,0.7745966692414834,11,2
battle group,3.2,1.3165611772087666,10,1
battle it out,2.6,1.2649110640673518,10,1
battle line,3.272727272727273,1.348399724926484,11,4
battle lines are drawn,2.6363636363636362,1.3618169680781094,11,1
Battle of Britain,3.2,1.5491933384829668,10,0
battle of bull run,2.3636363636363638,1.433368568981982,11,2
battle of issus,1.9,1.1005049346146119,10,6
Battle of Quebec,4.2,1.0327955589886444,10,0
battle of the chemin-des-dames,2.8181818181818183,1.5374122295716148,11,11
battle of the sexes,2.2,1.398411797560202,10,0
battle of wake,NA,NA,6,9
battle of wills,1.8,1.2292725943057183,10,0
battle plan,3.2,1.2292725943057183,10,2
battle royal,3,1.3333333333333333,10,1
battle sight,3.4,1.505545305418162,10,4
battle weary,2.5,1.509230856356236,10,1
battleship grey,4.2727272727272725,1.009049958219026,11,3
batty man,2.3,1.2516655570345725,10,5
baud rate,2.4,1.6465452046971292,10,8
baulk end,NA,NA,9,10
bavarian cream,4.2727272727272725,1.1908743922772957,11,0
bawl baby,2.9,1.449137674618944,10,3
bawl out,2.8181818181818183,1.5374122295716148,11,3
bawling out,3.2,1.3165611772087666,10,3
bay area,4.125,1.0878112581387147,16,0
bay grass,4.545454545454546,0.9341987329938275,11,3
bay leaf,4.3,1.3374935098492586,10,0
bay myrtle,NA,NA,8,8
Bay of Pigs,3.9,1.286683937707919,10,2
bay ridge,4.0588235294117645,1.2485285456935955,17,9
bay rum,NA,NA,7,9
bay scallop,4.6,0.699205898780101,10,0
bay stater,NA,NA,3,8
bay tree,4.7,0.6749485577105528,10,3
bay view,3.6,1.505545305418162,10,0
bay window,4.2,1.2292725943057183,10,0
bay wreath,4,1.3333333333333333,10,1
bay yarn,4.2,1.2292725943057183,10,6
bayonne bridge,3.8947368421052633,1.5949481650269413,19,9
bb gun,4.090909090909091,1.1361818036340359,11,0
BB shot,4.3,1.3374935098492586,10,6
BBC English,3.5,1.35400640077266,10,3
BBC World Service,3.1,1.911950719959998,10,1
bbq sauce,4.7,0.6749485577105528,10,0
be a babe in the woods,2.3,1.4181364924121764,10,1
be a backseat driver,2,1.4142135623730951,10,0
be a bad apple in the barrel,1.3,0.6749485577105528,10,0
be a balancing act,1.9090909090909092,0.9438798074485389,11,1
be a ball and chain,2.7,1.636391694484477,10,0
be a ballpark figure,1.8,1.0327955589886444,10,1
be a basketcase,1.6,1.0749676997731399,10,1
be a big baby,3.1,1.449137674618944,10,0
be a bit much,2.1,1.3703203194062976,10,0
be a blast from the past,1.9,0.9944289260117533,10,2
be a blessing in disguise,2.2,1.7511900715418263,10,0
be a breath of fresh air,2.3,1.5670212364724212,10,0
be a breeze,1.6363636363636365,0.9244162777371754,11,1
be a bumpy ride,2.6,1.6465452046971292,10,0
be a bundle of nerves,2,1.632993161855452,10,1
be a busy bee,2.4545454545454546,1.1281521496355325,11,0
be a can of worms,1.6,0.8432740427115678,10,1
be a carbon copy,2.6470588235294117,1.1694644324747672,17,1
be a catch 22,1.8181818181818181,0.9816498172140428,11,3
be a cheap shot,2,1.4907119849998598,10,0
be a chink in someone's armor,1.6,1.2649110640673518,10,0
be a chip off the old block,1.8,1.4757295747452437,10,3
be a class act,2.0526315789473686,1.3529262199858298,19,0
be a close call,2,1.247219128924647,10,0
be a cog in the machine,2.3,1.3374935098492586,10,0
be a conversation piece,2.1,0.7378647873726218,10,0
be a couch potato,2.5,1.4337208778404378,10,0
be a creature of habit,2,1.3333333333333333,10,0
be a dark horse,1.2727272727272727,0.6466697906828632,11,0
be a dead ringer for someone,1.8,1.1352924243950935,10,0
be a different animal,2.111111111111111,1.278274981412284,18,1
be a done deal,1.6,1.3498971154211057,10,0
be a double whammy,1.9,0.9944289260117533,10,1
be a double-edged sword,2,1.247219128924647,10,0
be a drag,1.5,0.97182531580755,10,1
be a drop in the ocean,2.2,1.398411797560202,10,0
be a fallen angel,2,1.5374122295716148,12,1
be a false alarm,2.4,0.8432740427115678,10,1
be a feather in one's cap,1.8,1.3165611772087666,10,2
be a flash in the pan,2.6363636363636362,1.6292775867068985,11,0
be a gem,1.5,0.7071067811865476,10,1
be a glutton for punishment,1.6,1.2649110640673518,10,3
be a guinea pig,2.5,1.6499158227686108,10,1
be a happy camper,2.2,1.4757295747452437,10,1
be a happy medium,1.6,1.0749676997731399,10,0
be a hard act to follow,2.3,1.2516655570345725,10,0
be a hard sell,1.9090909090909092,1.1361818036340359,11,0
be a hassle,2.7,1.3374935098492586,10,0
be a household name,1.5,0.7071067811865476,10,0
be a jack of all trades,1.7,0.9486832980505138,10,0
be a joke,1.9090909090909092,1.044465935734187,11,0
be a knight in shining armor,2.3,1.1595018087284057,10,1
be a ladies' man,2.4,1.505545305418162,10,1
be a lost cause,2.1,1.449137674618944,10,1
be a mamma's boy,2,1.1881770515720091,18,1
be a man,2.727272727272727,1.4206272622267313,11,0
be a melting pot,1.7272727272727273,0.7862453931068965,11,3
be a mixed bag,2,1.3416407864998738,11,1
be a mutual admiration society,2.1,1.1972189997378648,10,0
be a needle in a haystack,2.2,1.6193277068654826,10,0
be a nervous wreck,2.5,1.35400640077266,10,0
be a nice touch,2.8,1.4757295747452437,10,0
be a nightmare,1.5,0.97182531580755,10,0
be a no brainer,2.3636363636363638,1.5015143870590966,11,1
be a no-win situation,1.9,1.1005049346146119,10,0
be a one-man band,3,0.9428090415820634,10,0
be a pain,2.1818181818181817,1.4012980994907414,11,0
be a party pooper,1.6,0.8432740427115678,10,0
be a piece of cake,2,1.35400640077266,13,1
be a plus,2.1,1.286683937707919,10,2
be a powder keg,1.8,1.2292725943057183,10,2
be a quick fix,3.4545454545454546,1.3684762594679065,11,0
be a race against time,2,1.4907119849998598,10,1
be a ray of sunshine,1.5,1.0801234497346435,10,1
be a recipe for disaster,1.7272727272727273,1.2720777563426766,11,1
be a recipe for success,2.1818181818181817,1.5374122295716148,11,0
be a riot,1.8,1.3165611772087666,10,1
be a rude awakening,2.4,1.429840705968481,10,0
be a rule of thumb,1.6,0.5163977794943222,10,1
be a safe bet,2.3,1.4944341180973264,10,0
be a shadow of one's former self,2,1.4907119849998598,10,0
be a shot in the dark,1.8,1.0327955589886444,10,0
be a shoulder to cry on,2,1.247219128924647,10,0
be a sight for sore eyes,1.8,1.1352924243950935,10,0
be a smart alec,2.090909090909091,1.513574937328539,11,0
be a smooth ride,3,1.3333333333333333,10,0
be a sport,1.5,0.8498365855987975,10,0
be a step in the right direction,2.3636363636363638,1.5015143870590966,11,0
be a stumbling block,1.9,0.9944289260117533,10,1
be a sucker for something,2.7,1.4944341180973264,10,0
be a thorn in one's side,1.7,0.9486832980505138,10,0
be a three-ring circus,1.9333333333333333,1.2227992865708155,15,3
be a tough cookie,1.4,0.5163977794943222,10,0
be a vicious circle,2.7,1.70293863659264,10,0
be a wet blanket,1.5,1.2692955176439846,10,0
be a wild card,1.5,0.7071067811865476,10,0
be a win-win situation,2.7,1.2516655570345725,10,0
be a window of opportunity,2.3636363636363638,1.433368568981982,11,0
be able,3,1.9436506316151,10,0
be able to,2,1.4907119849998598,10,0
be about,2.1818181818181817,1.4012980994907414,11,0
be about to,1.9,1.1005049346146119,10,2
be absorbed by,1.8,1.0327955589886444,10,0
be across the board,1.9,1.1972189997378648,10,0
be active,2.9,1.286683937707919,10,0
be adrift,2.7,1.2516655570345725,10,0
be afraid,2.5,1.5811388300841898,10,0
be after,2,1.4142135623730951,10,0
be ahead of one's time,1.7,1.0593499054713802,10,0
be ahead of the game,1.6,0.699205898780101,10,0
be alive and kicking,2.8,1.4757295747452437,10,0
be all and end all,1.4,0.5163977794943222,10,2
be all doom and gloom,1.7,1.0593499054713802,10,0
be all dressed up with nowhere to go,2,1.2060453783110545,12,0
be all ears,1.7272727272727273,0.7862453931068965,11,0
be all in a day's work,2.1818181818181817,1.3280197150781925,11,0
be all over someone,1.7,0.8232726023485646,10,0
be all over the place,1.8181818181818181,0.873862897505303,11,0
"be all-singing, all-dancing",2.3,1.1595018087284057,10,0
be along,2.272727272727273,1.2720777563426766,11,1
be amiss,2,0.816496580927726,10,1
be an acquired taste,1.9,1.286683937707919,10,1
be an eager beaver,2.3,1.2516655570345725,10,0
be an early bird,1.6666666666666667,0.8876253645985945,12,0
be an item,3.3,1.4944341180973264,10,1
be an open book,1.4,0.699205898780101,10,0
be an unholy alliance,2.6,1.3498971154211057,10,1
be anybody's guess,1.8181818181818181,0.6030226891555273,11,1
be around,3,1.247219128924647,10,1
be as tough as boots,1.5,0.8498365855987975,10,0
be asking for it,2.1818181818181817,1.4709304414677002,11,0
be at a loss for words,1.7,0.8232726023485646,10,0
be at death's door,2.3333333333333335,1.0465362369445672,15,1
be at each other's throats,2.5,1.6499158227686108,10,0
be at one's wit's end,2.1,1.5951314818673865,10,0
be at pains,2.5,1.6499158227686108,10,2
be at someone's beck and call,1.9090909090909092,1.300349603340998,11,1
be at the back of one's mind,1.6,1.0749676997731399,10,0
be at the end of your rope,1.3,0.9486832980505138,10,0
be at the end of your tether,1.9375,1.2893796958227628,16,4
be away,2.2,1.3165611772087666,10,1
be back at square one,1.7272727272727273,0.9045340337332909,11,0
be behind something,2.4,1.429840705968481,10,1
be bent on doing something,2.1,1.5238839267549948,10,1
be big on something,1.6,0.9660917830792959,10,0
be born,4.3,1.0593499054713802,10,1
be born yesterday,1.4,0.5163977794943222,10,0
be called,2.8,1.4757295747452437,10,0
be cannon fodder,2.1,0.7378647873726218,10,5
be careful,2.7,1.1595018087284057,10,0
be careful what you wish for,1.4,0.699205898780101,10,0
be caught napping,3,1.4142135623730951,20,0
be caught short,2.7,1.5670212364724212,10,0
be climbing the walls,2.5,1.5811388300841898,10,1
be close to one's heart,2.6,1.7126976771553504,10,0
be clued in about something,1.6,0.699205898780101,10,0
be cut out for,1.8823529411764706,1.2689736473414486,17,0
be cut up,2.75,1.2154310870109943,12,0
be dead in the water,1.5,1.0801234497346435,10,0
be dead to the world,1.4,0.699205898780101,10,1
be disappointed with,1.9,0.9944289260117533,10,0
be down,2.1,1.5238839267549948,10,0
be down in the dumps,1.7,1.0593499054713802,10,0
be down on,1.8,1.1352924243950935,10,0
be down with,2.1,1.3703203194062976,10,0
be dressed to kill,2.2,1.1352924243950935,10,1
be due,1.5,0.7302967433402214,16,5
be easy money,2.2,1.5491933384829668,10,1
be easy on the eye,2,1.4907119849998598,10,0
be enthralled,2.6666666666666665,1.556997888323046,12,2
be expected to,2.3,1.5670212364724212,10,0
be fed up,2.3,1.1595018087284057,10,0
be fed up with,1.2,0.4216370213557839,10,0
be firing on all cylinders,2.1818181818181817,1.4012980994907414,11,0
be first call,2.2,1.1352924243950935,10,2
be fond of,1.9090909090909092,1.044465935734187,11,0
be from all walks of life,1.5454545454545454,0.9341987329938275,11,0
be full,3,1.5634719199411433,10,0
be full of beans,2.3,1.70293863659264,10,1
be full of holes,3.1818181818181817,1.4709304414677002,11,0
be full of oneself,1.9,1.286683937707919,10,0
be glad to see the back of,2.4,1.577621275493231,10,1
be good for,1.8,1.0327955589886444,10,0
be grasping at straws,2.090909090909091,1.2210278829367867,11,0
be green with envy,2.090909090909091,1.1361818036340359,11,0
be had,2.1,1.3703203194062976,10,2
be hard to swallow,2.1,1.286683937707919,10,1
be here,1.7272727272727273,1.009049958219026,11,0
be high and dry,1.9,0.8755950357709131,10,0
be hot off the press,1.9166666666666667,0.9962049198956219,12,0
be hung up on something,2.272727272727273,1.1908743922772957,11,0
be icing on the cake,2.3636363636363638,1.2060453783110545,11,0
be in,3.5,1.5811388300841898,10,0
be in a spot of bother,1.8181818181818181,1.2504544628399563,11,3
be in a vacuum,2,1.699673171197595,10,0
be in a world of one's own,1.6,0.9660917830792959,10,1
be in cahoots with,1.6,1.2649110640673518,10,2
be in for,2.4,1.2649110640673518,10,0
be in for a treat,1.7,0.9486832980505138,10,0
be in for it,1.8,0.7888106377466155,10,1
be in good company,2.1818181818181817,1.4709304414677002,11,0
be in hands,3,1.4907119849998598,10,1
be in mint condition,2.9,1.449137674618944,10,0
be in on,1.4545454545454546,0.8201995322647244,11,0
be in one's altitudes,2.2857142857142856,1.5898026693500447,14,10
be in one's blood,1.7,0.6749485577105528,10,1
be in one's element,1.5,0.9045340337332909,12,0
be in someone's clutches,1.5454545454545454,1.0357254813546264,11,0
be in someone's good graces,1.3,0.48304589153964794,10,1
be in stitches,2.1818181818181817,1.0787197799411874,11,0
be in the air,1.7,1.0593499054713802,10,0
be in the black,2.75,1.764549903980152,12,1
be in the cards,1.5,0.7071067811865476,10,2
be in the driver's seat,3.6,1.1737877907772674,10,0
be in the hot seat,1.3,0.6749485577105528,10,0
be in the public eye,2,1.3416407864998738,11,0
be in the running,2.8,1.7511900715418263,10,0
be in the same ballpark,1.4,0.699205898780101,10,0
be in the spotlight,2.4,1.577621275493231,10,0
be inclined,2.2,1.398411797560202,10,0
be intimate,2.6,1.0749676997731399,10,0
be into,2,1,11,1
be it as it may,1.7,1.3374935098492586,10,0
be known as,2.3,1.2516655570345725,10,2
be larger than life,2.3,1.4944341180973264,10,1
be left holding the baby,2.9166666666666665,1.5050420310248864,12,0
be left holding the bag,2,1.1832159566199232,11,0
be let off lightly,2.4,0.9660917830792959,10,1
be like,2.5,1.509230856356236,10,0
be like a slap in the face,2,1.1547005383792515,10,1
be mother,2.5,0.97182531580755,10,2
be murder,2.5,1.4337208778404378,10,3
be my guest,2.090909090909091,1.5782614139961386,11,0
be no big deal,2,1.3333333333333333,10,0
be no more,1.5,0.7071067811865476,10,0
be no spring chicken,2,1.2833778958394957,18,4
be no stranger to,1.9090909090909092,0.9438798074485389,11,0
be none the wiser,1.6,0.699205898780101,10,0
be not all there,1.1,0.31622776601683794,10,0
be not on,2,0.8944271909999159,11,2
be nuts about something,2.1,1.449137674618944,10,0
be off,1.6,0.699205898780101,10,0
be off base,2.3,1.0593499054713802,10,0
be off one's rocker,1.8235294117647058,1.0145993123917847,17,1
be off the cuff,1.6363636363636365,1.026910636104941,11,0
be on,2.6,1.6465452046971292,10,1
be on a slippery slope,1.8,1.0327955589886444,10,0
be on a sticky wicket,1.4,0.699205898780101,10,6
be on about,1.8,1.3165611772087666,10,0
be on auto-pilot,2.5,1.5811388300841898,10,0
be on cloud nine,1.8,1.3165611772087666,10,0
be on its knees,2.8,1.6193277068654826,10,1
be on someone's back,1.8,0.7888106377466155,10,0
be on the ball,2,1.0540925533894598,10,0
be on the edge of one's seat,2.5,1.4337208778404378,10,0
be on the go,2.1,0.8755950357709131,10,0
be on the horizon,2.7,1.3374935098492586,10,0
be on the horns of a dilemma,1.5,0.8498365855987975,10,3
be on the mend,2.272727272727273,1.348399724926484,11,1
be on the receiving end of something,2.5833333333333335,1.6213537179739277,12,0
be on the tip of one's tongue,1.5,0.97182531580755,10,0
be on the warpath,2.3,1.2516655570345725,10,1
be on to,1.1,0.31622776601683794,10,3
be on top of the world,1.7272727272727273,0.9045340337332909,11,1
be one,1.8,1.0327955589886444,10,0
be one of the boys,1.8,1.3165611772087666,10,0
be one's best bet,2.1,1.5238839267549948,10,0
be one's finest hour,1.9,0.9944289260117533,10,1
be one's guest,2.1,1.1005049346146119,10,0
be one's undoing,1.6363636363636365,0.9244162777371754,11,0
be oneself,2,1.247219128924647,10,0
be onto,2.2,1.2292725943057183,10,1
be out,2.5454545454545454,1.2135597524338357,11,0
be out cold,3.090909090909091,1.3751033019046572,11,0
be out for blood,1.6,0.9660917830792959,10,0
be out like a light,1.6363636363636365,0.504524979109513,11,1
be out of,2.3636363636363638,1.026910636104941,11,0
be out of bounds,2.8,1.4757295747452437,10,1
be out of it,2.2,1.0327955589886444,10,0
be out of line,2.1,1.1005049346146119,10,0
be out of one's league,1.8333333333333333,1.2673044646258476,12,1
be out of order,2.3,1.3374935098492586,10,0
be out of the blue,1.7,0.9486832980505138,10,2
be out of the closet,1.7,1.0593499054713802,10,0
be out of the question,1.6363636363636365,1.026910636104941,11,0
be out of this world,1.9,1.449137674618944,10,0
be out of touch,2.1,1.286683937707919,10,0
be out to,2.6,1.7126976771553504,10,0
be out to lunch,2.6,1.1737877907772674,10,0
be over the moon,1.8,1.2292725943057183,10,0
be part and parcel of,2.4,1.2649110640673518,10,2
be prepared,3,1.4142135623730951,11,0
be put off by,1.6363636363636365,0.8090398349558905,11,0
be put through the mill,1.9,1.286683937707919,10,0
be quick on the draw,2.4,1.7126976771553504,10,0
be quiet,2.6666666666666665,1.497472618255253,12,0
be ready to roll,2.2,1.0327955589886444,10,0
be right back,2.1818181818181817,1.5374122295716148,11,0
be right up someone's alley,2,0.816496580927726,10,0
be rolling in the aisles,2.2,1.398411797560202,10,1
be rooped up,NA,NA,5,8
be rude with,2.7,1.5670212364724212,10,0
be sacked,2.7,1.636391694484477,10,0
be sacrifice on the altar of something,2.1,1.5238839267549948,10,1
be seeing you,2.5,1.35400640077266,10,0
be short and sweet,1.6,1.2649110640673518,10,0
be sick,3.272727272727273,1.4206272622267313,11,0
be sitting on a goldmine,2.2,1.5491933384829668,10,0
be skating on thin ice,1.8,1.3165611772087666,10,0
be small potatoes,1.7272727272727273,1.009049958219026,11,4
be snowed under,2.6363636363636362,1.3618169680781094,11,1
be sold on something,1.631578947368421,0.6839855680567694,19,0
be someone's baby,2.1818181818181817,1.4012980994907414,11,0
be someone's bag of tricks,1.5,1.2692955176439846,10,1
be someone's better half,2.8181818181818183,1.9400093720485898,11,0
be someone's bread and butter,1.8,1.0327955589886444,10,0
be someone's other half,1.9090909090909092,1.4459976109624424,11,0
be someone's partner in crime,2.090909090909091,1.5782614139961386,11,0
be spoken for,1.5,0.7071067811865476,10,0
be spot on,2.4166666666666665,1.3113721705515067,12,0
be still my beating heart,1.6875,0.7932002689527196,16,1
be still my heart,2.0833333333333335,1.6213537179739277,12,0
"be still, my beating heart",2.3,1.1595018087284057,10,0
be supposed to,2.3,1.4944341180973264,10,1
be sure,1.8,0.9189365834726815,10,0
be sure to,2.1818181818181817,1.662418829187267,11,0
be taken aback,1.9,1.449137674618944,10,0
be taken ill,2.1,1.1005049346146119,10,0
be taken with,1.9,1.1005049346146119,10,1
be that as it may,2.1,1.66332999331662,10,1
be the apple of someone's eye,1.4,0.9660917830792959,10,0
be the bane of someone's existence,2.090909090909091,1.300349603340998,11,0
be the bee's knees,1.3,0.9486832980505138,10,1
be the bomb,2.5454545454545454,1.5075567228888183,11,1
be the boy next door,1.4,0.699205898780101,10,1
be the cream of the crop,2.8,1.7511900715418263,10,0
be the epitome of,2.8,1.4757295747452437,10,0
be the girl next door,2.7,1.2516655570345725,10,1
be the lesser of two evils,1.5454545454545454,1.2933395813657265,11,1
be the life of the party,1.9,1.1005049346146119,10,0
be the moment of truth,1.6,1.2649110640673518,10,0
be the odd one out,1.6,0.9660917830792959,10,0
be the unsung hero,1.4545454545454546,0.6875516509523286,11,0
be the way to go,2,1.4675987714106855,14,0
be the world to,2.6,1.429840705968481,10,1
be there,2.6,1.3498971154211057,10,1
be there for,2.1818181818181817,1.1677484162422844,11,0
be there for me,2.3333333333333335,1.4142135623730951,18,0
be there or be square,1.8,1.4757295747452437,10,0
be thrilled to bits,1.9,1.286683937707919,10,0
be through,2.6,1.6465452046971292,10,4
be to,2.6,1.3498971154211057,10,6
be to die for,2.1,1.449137674618944,10,2
be to do with,2,1.1547005383792515,13,9
be together,3.5,1.509230856356236,10,0
be too rich for one's blood,1.5454545454545454,0.8201995322647244,11,2
be under someone's spell,1.6666666666666667,1.137592917989042,18,0
be under the influence,2,1.247219128924647,10,0
be under the weather,1.7222222222222223,1.0740552924509195,18,0
be up,2.7,1.3374935098492586,10,1
be up against the wall,2.272727272727273,1.348399724926484,11,0
be up and running,2,1.0540925533894598,10,0
be up for,2.3125,1.40089257261219,16,1
be up in arms,2.7,1.4181364924121764,10,1
be up in arms about something,2.3,1.5670212364724212,10,0
be up in the air,2.727272727272727,1.1037127426019047,11,0
be up to,2.1,1.1972189997378648,10,0
be up to speed,2.1,1.66332999331662,10,0
be well,2.5,1.4142135623730951,16,1
be wide open,2.7,1.4944341180973264,10,0
be with it,2,1.224744871391589,17,2
be without rhyme or reason,2.090909090909091,1.3751033019046572,11,0
be worked up,1.9,0.9944289260117533,10,0
be wrong with,2.2,1.2292725943057183,10,2
be young at heart,2,1.247219128924647,10,1
be yourself,2.1,1.1005049346146119,10,0
be-all and end-all,1.8235294117647058,1.1850788010532811,17,4
"be-all, end-all",2.125,1.4548768561863463,16,1
beach ball,4.4,0.9660917830792959,10,0
beach buggy,4.5,1.2692955176439846,10,0
beach bum,2.2,1.4757295747452437,10,0
beach chair,4.7,0.9486832980505138,10,0
beach erosion,4.4,0.699205898780101,10,1
beach house,4.2727272727272725,1.1037127426019047,11,1
beach hut,4.3,1.3374935098492586,10,0
beach pea,3.6363636363636362,1.6292775867068985,11,3
beach plum,NA,NA,8,8
beach resort,4.5,0.7071067811865476,10,0
beach towel,4.9,0.31622776601683794,10,0
beach volleyball,4.363636363636363,0.8090398349558905,11,0
beach wagon,4.8,0.6324555320336759,10,3
beacon fire,4.4,0.8432740427115678,10,1
beacon hill,4.266666666666667,0.9611501047232549,15,7
beacon light,3.8,1.398411797560202,10,1
bead and quirk,2.3846153846153846,1.5021352323976216,13,10
bead necklace,4.5,0.97182531580755,10,1
bead proof,2.909090909090909,1.513574937328539,11,12
bead tree,4.181818181818182,1.0787197799411874,11,4
beaded bracelet,4.818181818181818,0.40451991747794525,11,1
beading plane,NA,NA,9,8
beaker people,2.3333333333333335,1.4354811251305468,12,8
beam balance,3.7,1.5670212364724212,10,5
beam down,2.4,1.2649110640673518,10,2
beam of light,4,0.816496580927726,10,0
beam up,2,0.9428090415820634,10,0
bean bag,4.6,0.8432740427115678,10,0
bean bag chair,4.5,0.8498365855987975,10,0
bean burrito,4.882352941176471,0.48507125007266594,17,0
bean counter,3.7,1.1595018087284057,10,0
bean counting,2.2,1.0327955589886444,10,0
bean curd,4.4,1.2649110640673518,10,0
bean plant,4.7,0.6749485577105528,10,1
bean pod,4.1,1.449137674618944,10,1
bean pole,4.4,0.8432740427115678,10,0
bean queen,NA,NA,3,8
bean salad,4.2727272727272725,0.7862453931068965,11,2
bean salsa,4.1,1.66332999331662,10,0
bean sauce,4.5,0.7071067811865476,10,0
bean soup,4.181818181818182,1.2504544628399563,11,0
bean sprout,4.6,1.2649110640673518,10,0
bean sprouts,4.6,0.5163977794943222,10,0
bean trefoil,4.090909090909091,1.4459976109624424,11,12
beanbag chair,4.944444444444445,0.23570226039551584,18,3
bear a burden,1.4,0.699205898780101,10,0
bear a grudge,1.6,0.9660917830792959,10,2
bear a hand,2,0.9428090415820634,10,1
bear arms,2.6,1.2649110640673518,10,0
bear bile,3.4,1.6465452046971292,10,7
bear breech,NA,NA,8,8
bear cat,4.1,1.3703203194062976,10,1
bear claw,4,1.1547005383792515,13,0
bear company,3.6,1.3498971154211057,10,4
bear cost,2.727272727272727,1.6787441193290353,11,5
bear cub,4.7,0.9486832980505138,10,0
bear down,2.3,1.3374935098492586,10,1
bear down on,2.090909090909091,1.3751033019046572,11,0
bear down upon,2,1.4907119849998598,10,0
bear ear,NA,NA,5,9
bear foot,3.8,1.5491933384829668,10,2
bear fruit,3,1.3416407864998738,11,2
bear grape,NA,NA,7,9
bear grudge,1.9,1.1005049346146119,10,2
bear hug,2.6,1.505545305418162,10,1
bear in mind,1.5454545454545454,1.0357254813546264,11,1
bear lair,4.3,1.2516655570345725,10,0
bear market,2.75,1.2880570286640687,12,8
bear oak,4.4,0.8432740427115678,10,3
bear on,1.6923076923076923,0.6304251719561152,13,4
bear out,1.7,1.0593499054713802,10,0
bear paw,4.1,1.3703203194062976,10,0
bear resemblance,2.272727272727273,1.2720777563426766,11,1
bear somebody black and blue,2.5,1.591644851508443,16,7
bear the blame,2.090909090909091,1.044465935734187,11,0
bear the brunt,2.4,1.3498971154211057,10,2
bear the hallmark,2,1.0540925533894598,10,0
bear up,1.7272727272727273,1.1037127426019047,11,1
bear up against,2,1.1832159566199232,11,0
bear up under,2,1.4907119849998598,10,3
bear upon,1.7,0.9486832980505138,10,0
bear with,1.5,0.7071067811865476,10,1
bear with a sore head,1.9,1.1972189997378648,10,3
bear witness,3.1,1.728840330651992,10,0
beard moss,4.6,0.5163977794943222,10,2
beard the lion in his den,2,1.4577379737113252,17,9
beard trimmer,4.8,0.4216370213557839,10,0
bearded clam,3.9,1.3703203194062976,10,1
bearded darnel,3.8,1.2292725943057183,10,5
bearded dragon,4.75,0.621581560508061,12,0
bearded mussel,4.1,1.66332999331662,10,4
bearded seal,3.727272727272727,1.4893561757289013,11,2
bearded tit,3.5714285714285716,1.3985864135061359,14,5
bearded vulture,4.3,1.0593499054713802,10,2
bearer bond,3.1,1.728840330651992,10,5
bearer of the sword,2.1666666666666665,1.403458930534474,12,1
bearing false witness,2,1.3333333333333333,10,1
bearing metal,3.9,1.1005049346146119,10,4
bearing rein,3,1.3333333333333333,10,2
bearing wall,4.2,0.7888106377466155,10,2
bearnaise sauce,3.7,1.4181364924121764,10,1
bearskin hat,4.7,0.6749485577105528,10,3
beast of burden,2.8181818181818183,1.662418829187267,11,4
beast with two backs,1.8,1.3165611772087666,10,2
beat a dead horse,1.5454545454545454,1.0357254813546264,11,2
beat a hasty retreat,1.7,1.3374935098492586,10,3
beat a path to someone's door,1.5,0.7071067811865476,10,1
beat a retreat,2.4,1.3498971154211057,10,1
beat about,1.9,0.9944289260117533,10,1
beat around the bush,1.6,0.8432740427115678,10,0
beat back,NA,NA,9,8
beat banaghan,NA,NA,4,8
beat cop,3.4,1.577621275493231,10,2
beat culture,2.8,1.4757295747452437,10,5
beat down,3,1.5634719199411433,10,0
beat down on,2.8,1.4757295747452437,10,0
beat down to,2.1818181818181817,1.2504544628399563,11,2
beat feet,2.4,1.837873166945363,10,4
beat generation,2.2,1.6193277068654826,10,2
beat hollow,2.0833333333333335,1.164500152881315,12,7
beat in,2.4,0.9660917830792959,10,1
beat it,1.9,0.8755950357709131,10,0
beat off,1.7272727272727273,1.1037127426019047,11,0
beat on,2.8181818181818183,1.4709304414677002,11,1
beat one's brain,1.5,0.5270462766947299,10,0
beat one's brain out,2.8181818181818183,0.9816498172140428,11,0
beat one's head against a stone wall,3,1.4907119849998598,10,1
beat one's head against a wall,2.272727272727273,1.4206272622267313,11,0
beat one's time,2.176470588235294,1.0145993123917847,17,0
beat out,2.9,1.5951314818673865,10,2
beat out of,2.7,1.5670212364724212,10,0
beat round the ears,1.9,0.8755950357709131,10,2
beat somebody black and blue,1.9,1.1005049346146119,10,0
beat someone to the draw,1.7,0.9486832980505138,10,0
beat someone to the punch,2.5,1.509230856356236,10,0
beat someone's brains out,2.6,0.9660917830792959,10,0
