"","Survey","Platform","File_date","Participant","Please click the button below to agree to participate in this study.","Do you wish to complete the article evaluation instead of the study?","spiritually","meaningfulness","entrepreneurship","tranquillize","interrupting","malnourishment","pressure point","waterskiing","milk chocolate","brussels sprouts","look what the cat's dragged in","on the off-chance","head over heel","daylight saving time","throwaway remark","six of one and half a dozen of the other","take a back seat","felt-tipped pen","lip synchronization","sabre-toothed cat","in principle","interpretation","ignorance","collaborate","heavyhearted","bureaucratic","emergency","watch out","surcharge","telecommunication","cardiovascular","production cost","interior designer","assassination","law enforcement","surfboarding","bullseye","flight simulator","orange juice","spaghetti sauce","RPS_ID","Prolific_ID","Gender","Gender_Self_Describe","Age","Ed_years","Uni_years","Ed_years_calc","English_first","English_fluent","Dupe_spiritually","Dupe_meaningfulness","Dupe_entrepreneurship","Dupe_tranqualize","Dupe_interrupting","Dupe_malnourishment","Dupe_pressure_point","Dupe_waterskiing","Dupe_milk_chocolate","Dupe_brussel_sprouts","Dupe_look what the cat's dragged in","Dupe_on the off-chance","Dupe_head over heel","Dupe_daylight saving time","Dupe_throwaway remark","Dupe_six of one and half a dozen of the other","Dupe_take a back seat","Dupe_felt-tipped pen","Dupe_lip synchronization","Dupe_sabre-toothed cat","Thirty_plus","Incomplete","Do_not_know","Correlation","Exclude","Reverse"
"315","List 2","Mturk","27-Jan-20","R_21BZzvtopimDQPT","I agree to participate in this study",NA,5,5,4,4,4,4,4,4,3,5,4,4,5,5,5,5,3,5,5,5,5,4,4,5,4,5,4,5,5,4,4,3,3,4,4,4,5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00227272727272727,0,-0.267556920549767,TRUE,NA
"316","List 2","Mturk","27-Jan-20","R_2EhNFnZi3ZltOue","I agree to participate in this study",NA,5,3,4,4,4,5,4,4,4,5,4,4,5,4,4,4,4,5,4,4,3,5,6,3,3,2,5,3,4,4,4,4,4,4,3,3,6,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0227272727272727,-0.191147634624222,TRUE,NA
"317","List 2","Mturk","27-Jan-20","R_3GoXyDHlPMKMuoK","I agree to participate in this study",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,3,4,3,4,2,3,5,5,4,3,5,4,3,4,5,3,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0795454545454545,0.155337654722098,TRUE,NA
"318","List 2","Mturk","27-Jan-20","R_vxxZDgyGfe1oNlT","I agree to participate in this study",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,4,4,4,5,5,5,4,5,4,4,4,5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00227272727272727,0,0.042604835161401,TRUE,NA
"319","List 2","Mturk","27-Jan-20","R_3gc1zmX31J6Rf1f","I agree to participate in this study",NA,1,3,3,5,1,5,5,5,5,5,1,1,1,1,1,6,1,5,5,3,1,2,1,4,2,5,5,1,5,4,5,3,5,4,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.175,0.686004206376392,FALSE,NA
"320","List 2","Mturk","27-Jan-20","R_3oTk3VhnT0xhTCc","I agree to participate in this study",NA,1,1,1,5,3,4,3,5,5,5,1,1,1,1,1,3,1,5,4,5,1,1,3,1,1,1,1,1,3,1,1,1,5,5,3,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.143181818181818,0.786195907581849,FALSE,NA
"321","List 2","Mturk","27-Jan-20","R_sIh1SjgVqzxTEUV","I agree to participate in this study",NA,1,1,3,5,1,5,1,5,5,5,2,1,1,2,1,3,1,5,4,5,1,2,2,4,2,2,2,1,4,4,4,2,4,5,4,5,4,-99,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.129545454545455,0.771831269383524,FALSE,NA
"322","List 2","Mturk","27-Jan-20","R_3Dj8CcjESv8Fy4p","I agree to participate in this study",NA,5,5,5,5,5,5,5,4,5,5,5,5,5,5,6,4,5,5,5,5,5,5,1,5,3,4,5,2,4,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0.00227272727272727,0.0318181818181818,NA,NA,NA
"323","List 2","Mturk","27-Jan-20","R_1IB5gwTqtMCtUjl","I agree to participate in this study",NA,1,1,1,6,1,1,5,5,5,5,5,1,1,1,1,5,1,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,5,6,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0340909090909091,0.639431576729843,FALSE,NA
"324","List 2","Mturk","27-Jan-20","R_3LcdWCk8mdlwjpN","I agree to participate in this study",NA,3,1,3,4,3,4,4,5,5,5,3,2,2,5,3,4,3,5,3,4,1,1,4,2,3,3,3,4,2,3,4,4,1,5,4,4,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0113636363636364,0.689205380306108,FALSE,NA
"325","List 2","Mturk","27-Jan-20","R_eeWqRg9bv6V3kxr","I agree to participate in this study",NA,3,6,6,5,4,4,3,6,5,4,5,4,4,4,4,3,5,3,4,4,1,6,5,1,1,1,1,1,2,1,1,1,4,1,1,3,3,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0386363636363636,0.351288610873087,FALSE,NA
"326","List 2","Mturk","27-Jan-20","R_2WZJKvvBxbZcvdU","I agree to participate in this study",NA,5,5,6,4,6,6,4,6,6,5,5,5,4,5,5,4,4,4,4,5,4,6,4,5,3,6,3,3,4,5,3,5,5,6,3,3,6,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.0113636363636364,0.252272727272727,-0.033489541281215,TRUE,NA
"327","List 2","Mturk","27-Jan-20","R_22ITP5jo7OkJIrx","-99",NA,5,5,4,5,4,4,5,4,4,5,5,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,6,4,5,6,4,6,5,4,5,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00454545454545455,0.131818181818182,-0.29078618553873,TRUE,NA
"328","List 2","Mturk","27-Jan-20","R_42WuuIuQpq4JFbX","I agree to participate in this study",NA,1,1,2,5,1,5,4,5,5,5,4,1,4,1,4,2,2,5,4,5,1,1,1,1,1,1,3,1,5,3,2,3,5,4,4,5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00227272727272727,0.0886363636363636,0.865392742664391,FALSE,NA
"329","List 2","Mturk","27-Jan-20","R_30c4LQwthoQgDMV","I agree to participate in this study",NA,4,5,5,5,3,3,5,5,5,4,4,4,4,4,4,5,5,4,5,4,4,3,3,4,4,4,5,5,2,5,2,4,3,3,4,2,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00227272727272727,0.0227272727272727,-0.290671445365784,TRUE,NA
"330","List 2","Mturk","27-Jan-20","R_3gXvDwpAgpqpi9O","I agree to participate in this study",NA,4,3,5,5,5,3,2,4,5,4,4,3,4,3,4,4,4,3,3,5,4,4,4,4,2,4,2,3,4,6,3,3,1,2,4,2,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00454545454545455,-0.40205889424067,TRUE,NA
"331","List 2","Mturk","27-Jan-20","R_Rt1cymov4O7zAKl","I agree to participate in this study",NA,1,1,1,1,3,4,1,5,5,5,1,1,1,1,1,1,1,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0704545454545455,0.79873742169685,FALSE,NA
"332","List 2","Mturk","27-Jan-20","R_1OJhI3FC1WgkAlN","I agree to participate in this study",NA,3,2,4,4,4,4,4,4,4,3,3,3,4,4,4,4,5,3,3,5,5,4,3,3,6,5,3,4,3,4,6,4,4,2,4,2,5,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0295454545454545,-0.236888186250699,TRUE,NA
"333","List 2","Mturk","27-Jan-20","R_8cOXI4o9jpE8fIt","I agree to participate in this study",NA,3,1,5,3,3,5,3,5,5,5,2,1,2,5,2,5,4,5,5,5,3,2,4,2,2,4,3,2,4,4,4,4,4,4,4,4,3,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.118181818181818,0.610862303605441,FALSE,NA
"334","List 2","Mturk","27-Jan-20","R_ZK8IugMAQ6zQpBT","I agree to participate in this study",NA,4,3,4,4,4,4,4,4,3,4,3,4,4,4,4,5,5,4,5,5,5,5,6,4,5,5,5,5,4,5,6,5,5,3,4,5,4,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.138636363636364,-0.481460602625671,TRUE,NA
"335","List 2","Mturk","27-Jan-20","R_W6hanUFnLLBK8Bb","I agree to participate in this study",NA,5,1,1,5,5,1,5,5,1,5,1,1,1,5,1,5,5,1,1,2,5,5,5,1,1,1,1,5,1,1,5,1,1,1,1,5,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,-0.228018609548769,TRUE,NA
"336","List 2","Mturk","27-Jan-20","R_1hTgRnT0DzH7VEd","I agree to participate in this study",NA,5,5,1,5,-99,1,5,1,1,1,1,5,1,1,5,1,5,1,5,1,5,3,1,2,5,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,-0.516909207101265,TRUE,NA
"337","List 2","Mturk","27-Jan-20","R_2ydufyefQG5x5XD","I agree to participate in this study",NA,1,1,1,1,1,1,1,4,5,5,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,4,3,1,5,1,4,5,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00681818181818182,0.115909090909091,0.792528069990196,FALSE,NA
"338","List 2","Mturk","27-Jan-20","R_uagVqt90yHqqxc5","I agree to participate in this study",NA,5,5,6,4,6,6,6,5,5,6,5,6,4,5,4,6,6,6,5,6,4,5,6,6,6,5,5,5,5,6,6,5,6,5,5,6,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.531818181818182,0.490769078425866,FALSE,NA
"339","List 2","Mturk","27-Jan-20","R_2ZPranoZNVat8uo","I agree to participate in this study",NA,6,5,5,6,5,6,5,6,5,6,6,5,6,6,5,5,6,6,5,5,4,5,3,4,5,4,5,3,4,4,5,5,2,4,6,3,6,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.145454545454545,-0.287190097921922,TRUE,NA
"340","List 2","Mturk","27-Jan-20","R_22yP8ZgUUjl7kwk","I agree to participate in this study",NA,4,3,4,4,4,4,5,2,3,2,4,3,3,4,5,4,4,3,4,5,3,4,4,4,3,3,5,4,4,5,4,3,3,3,3,4,3,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00227272727272727,-0.137305306118352,TRUE,NA
"341","List 2","Mturk","27-Jan-20","R_3meCsDb0J91u3IG","I agree to participate in this study",NA,4,3,5,5,5,5,5,5,5,5,1,1,2,3,1,1,1,5,4,5,1,3,3,3,2,4,5,4,4,5,5,3,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0590909090909091,0.772386812790565,FALSE,NA
"342","List 2","Mturk","27-Jan-20","R_OIIO9hbXxUnVS4F","I agree to participate in this study",NA,4,5,5,4,5,-99,5,-99,5,5,5,4,5,4,4,5,4,4,5,5,4,4,5,4,5,5,5,4,4,5,5,4,5,5,4,4,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00227272727272727,0,-0.148243873164055,TRUE,NA
"343","List 2","Mturk","27-Jan-20","R_vekbnTJg3iSedUJ","I agree to participate in this study",NA,2,2,2,3,3,3,4,5,5,5,1,1,2,3,2,2,2,5,3,5,3,3,3,3,1,3,3,3,3,1,4,4,4,3,4,4,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.181818181818182,0.654982367905529,FALSE,NA
"344","List 2","Mturk","27-Jan-20","R_2qqQXxxRpireVud","I agree to participate in this study",NA,1,1,3,4,5,5,4,5,5,5,1,1,1,2,1,1,2,5,4,5,1,4,4,2,1,3,4,4,5,4,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.115909090909091,0.739575409760746,FALSE,NA
"345","List 2","Mturk","27-Jan-20","R_32LV7oq4o9myuO7","I agree to participate in this study",NA,3,4,5,5,5,5,2,4,5,5,1,3,5,4,1,2,5,6,2,5,2,2,4,2,1,2,1,2,2,1,2,2,5,4,2,4,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.286363636363636,0.660578569670913,FALSE,NA
"346","List 2","Mturk","27-Jan-20","R_3fSLMmZeHA5ZyeD","I agree to participate in this study",NA,5,5,5,5,5,5,5,5,5,4,2,2,5,2,2,2,2,2,5,2,2,4,5,5,2,3,2,5,2,5,4,4,4,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,-0.443489608810737,TRUE,NA
"347","List 2","Mturk","27-Jan-20","R_ZDFzsm9TXgCHI9X","I agree to participate in this study",NA,3,2,3,3,4,4,2,4,5,5,1,2,2,3,1,4,1,5,4,5,2,1,2,1,1,1,2,1,1,2,3,-99,3,2,3,4,3,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0181818181818182,0.765921554162116,FALSE,NA
"348","List 2","Mturk","27-Jan-20","R_2cpjN5zbzP01giS","I agree to participate in this study",NA,4,5,5,1,1,1,1,4,5,4,5,1,1,5,1,1,4,1,5,1,4,1,5,4,5,1,5,5,5,5,4,5,1,5,1,1,4,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00227272727272727,0.00909090909090909,-0.144253704575921,TRUE,NA
"349","List 2","Mturk","27-Jan-20","R_2bW7fSyUMtIiaAp","I agree to participate in this study",NA,1,1,1,1,1,2,3,4,5,5,2,2,2,2,2,2,2,5,2,5,1,2,1,1,1,2,2,1,2,2,3,2,3,1,3,3,4,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00909090909090909,0.810603262262932,FALSE,NA
"350","List 2","Mturk","27-Jan-20","R_RmNDwXiSFRiSatz","I agree to participate in this study",NA,4,4,5,3,3,5,4,4,5,4,3,5,4,5,4,4,5,5,4,4,5,5,3,4,5,5,5,3,4,5,4,4,5,4,5,3,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0,-0.253863783016126,TRUE,NA
"351","List 2","Mturk","27-Jan-20","R_22SoGYHbdBYYV7B","I agree to participate in this study",NA,5,4,5,3,5,4,5,4,4,3,5,5,2,5,5,5,2,4,4,2,3,2,4,5,5,5,2,5,4,2,4,2,5,2,1,1,5,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00681818181818182,-0.222388284907564,TRUE,NA
"352","List 2","Mturk","27-Jan-20","R_2uBxPSB2w6IDFvn","I agree to participate in this study",NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00454545454545455,0.025,0.377051780762323,FALSE,NA
"353","List 2","Mturk","27-Jan-20","R_OJwtJP0QuFRNUul","I agree to participate in this study",NA,3,4,4,5,3,3,1,3,4,3,3,4,4,5,4,4,5,6,5,4,2,4,4,5,5,5,3,3,2,4,5,3,4,1,3,3,2,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00454545454545455,0,-0.0899633089263693,TRUE,NA
"354","List 2","Mturk","27-Jan-20","R_3KvI3uzucxZz0YD","I agree to participate in this study",NA,1,1,1,6,1,6,5,5,5,5,1,1,5,1,1,1,5,5,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.168181818181818,0.671045781793169,FALSE,NA
"355","List 2","Mturk","27-Jan-20","R_3rUruaAW2wjueRT","I agree to participate in this study",NA,4,1,4,2,4,2,3,5,5,5,1,1,1,5,2,1,1,5,4,5,1,1,1,1,1,2,1,1,4,4,3,5,5,2,4,4,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.1,0.83934764112322,FALSE,NA
"356","List 2","Mturk","27-Jan-20","R_2ZNxBleLgp49xMu","I agree to participate in this study",NA,4,5,5,4,4,5,4,4,5,4,4,5,4,5,5,4,4,4,4,5,3,3,5,4,2,3,4,4,4,4,4,3,3,4,4,4,4,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00227272727272727,0.279282330816518,FALSE,NA
"357","List 2","Mturk","27-Jan-20","R_UAtSh5ZEzBSmSjv","I agree to participate in this study",NA,1,1,1,3,1,3,3,5,5,5,1,1,3,1,1,2,2,5,3,3,1,1,1,2,1,3,1,1,3,3,5,4,5,4,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0340909090909091,0.895632346376239,FALSE,NA
"358","List 2","Mturk","27-Jan-20","R_DuVG7Etuez2krCx","I agree to participate in this study",NA,4,4,3,3,4,4,3,3,4,4,5,3,2,4,4,2,2,4,5,5,2,5,4,4,3,4,4,4,5,4,4,2,4,2,5,3,1,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0159090909090909,-0.254195991328035,TRUE,NA
"359","List 2","Mturk","27-Jan-20","R_1I45BcLTW1tgwpd","I agree to participate in this study",NA,1,1,4,5,5,3,5,5,5,5,1,1,1,5,3,4,2,5,5,5,1,1,1,2,1,4,1,1,5,5,5,5,5,2,4,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0431818181818182,0.756325220269723,FALSE,NA
"360","List 2","Mturk","27-Jan-20","R_27l2udOQARCPRnJ","I agree to participate in this study",NA,1,3,5,2,2,3,4,5,5,5,1,1,1,5,1,2,1,5,3,5,2,1,1,4,1,2,1,5,4,4,5,4,5,3,3,5,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00227272727272727,0.140909090909091,0.574205036510154,FALSE,NA
"361","List 2","Mturk","27-Jan-20","R_3hEnoVu8Qn26zEJ","I agree to participate in this study",NA,1,2,2,3,4,5,5,5,5,5,3,3,1,5,3,6,2,5,5,5,1,5,4,6,1,4,3,5,2,4,6,4,4,1,4,2,3,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.195454545454545,0.0925810165356852,TRUE,NA
"362","List 2","Mturk","27-Jan-20","R_e2oNkRfn8IggYNj","I agree to participate in this study",NA,1,3,3,4,3,2,1,5,4,5,1,1,1,5,1,5,5,5,5,5,2,2,1,2,1,2,3,2,3,5,4,4,5,4,3,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00681818181818182,0.0954545454545455,0.852690837191816,FALSE,NA
"363","List 2","Mturk","27-Jan-20","R_3DbgP5X6X7GiTvq","I agree to participate in this study",NA,1,4,1,3,5,5,4,5,5,5,1,2,1,3,1,6,4,5,4,1,1,2,1,2,1,6,4,1,3,4,3,4,5,4,4,4,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0727272727272727,0.773077511560021,FALSE,NA
"364","List 2","Mturk","27-Jan-20","R_2xFxDvsK2CS2AVA","I agree to participate in this study",NA,1,3,3,4,2,4,4,4,5,5,1,2,1,3,2,2,2,5,2,4,1,1,3,2,1,3,1,2,3,2,4,2,2,3,3,4,1,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.193181818181818,0.650034233172232,FALSE,NA
"365","List 2","Mturk","27-Jan-20","R_2D5mCKL2hgjxWfr","I agree to participate in this study",NA,1,1,1,1,1,3,1,5,5,5,1,1,3,1,1,5,4,4,4,6,1,1,1,1,1,3,1,1,1,1,3,2,5,1,3,5,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00227272727272727,0.0704545454545455,0.782486240610065,FALSE,NA
"366","List 2","Mturk","27-Jan-20","R_sTNjoUwwnfYre5H","I agree to participate in this study",NA,1,1,4,5,4,5,4,5,5,5,1,1,1,1,2,5,4,5,5,5,1,1,1,4,1,5,3,1,5,4,5,2,5,5,5,5,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0.00454545454545455,0.0295454545454545,0.671483875646933,FALSE,NA
