Expression,Code
disappoint someone with,idiom
disappointed with,participle verb
disassortative mating,idiom
disaster area,noun-noun
disaster strikes,noun-noun
disaster written all over it,idiom
disbelieve in,idiom
disc brake,noun-noun
disc drive,noun-noun
disc jockey,idiom
disc space,noun-noun
discharge a debt,idiom
discharge lamp,idiom
discharge pipe,noun-noun
discharged bankrupt,idiom
disco ball,noun-noun
disco biscuit,idiom
disco music,noun-noun
disco nap,idiom
discomboberate,idiom
discount business,noun-noun
discount card,noun-noun
discount chain,noun-noun
discount rate,noun-noun
discount store,noun-noun
discount warehouse,noun-noun
discourse marker,noun-noun
discourse on,noun-noun
discourse upon,noun-noun
discrete set,noun-noun
discretion is the better part of valor,idiom
discus thrower,noun-noun
discuss the matter,idiom
discussion group,noun-noun
discussion list,noun-noun
discussion section,noun-noun
disease of the skin,noun-noun
diseased person,idiom
disembodied spirit,idiom
dish aerial,noun-noun
dish antenna,noun-noun
dish detergent,noun-noun
dish drainer,noun-noun
dish it out,idiom
dish liquid,noun-noun
dish out,idiom
dish rack,noun-noun
dish soap,noun-noun
dish the dirt,idiom
dish towel,noun-noun
dish tray,noun-noun
dish up,noun-noun
dish washer,noun-noun
dish washing machine,noun-noun
dishcloth gourd,noun-noun
dishonorable discharge,noun-noun
dishonourable discharge,noun-noun
dishonoured bill,noun-noun
dishpan hands,idiom
dishware,noun-noun
dishwasher,noun-noun
dishwasher detergent,noun-noun
dishwashing detergent,noun-noun
dishwashing liquid,noun-noun
dishwashing machine,noun-noun
disk access,noun-noun
disk brake,noun-noun
disk brakes,noun-noun
disk cache,noun-noun
disk compression,noun-noun
disk controller,noun-noun
disk drive,noun-noun
disk error,noun-noun
disk file,noun-noun
disk harrow,noun-noun
disk jockey,noun-noun
disk operating system,noun-noun
disk pack,noun-noun
disk space,noun-noun
dismal science,noun-noun
disorderly behavior,noun-noun
disorderly conduct,noun-noun
disorderly house,noun-noun
dispatch box,noun-noun
dispatch case,noun-noun
dispatch rider,noun-noun
dispense with,noun-noun
dispensing chemist,noun-noun
dispensing optician,noun-noun
displaced person,noun-noun
displacement activity,noun-noun
displacement unit,noun-noun
display adaptor,noun-noun
display advertising,noun-noun
display bin,noun-noun
display board,noun-noun
display cabinet,noun-noun
display case,noun-noun
display panel,noun-noun
display window,noun-noun
disposable diaper,noun-noun
disposable income,noun-noun
disposable nappy,noun-noun
disposable razor,noun-noun
dispose of,noun-noun
dispute over,noun-noun
disreputable person,noun-noun
disrupting explosive,noun-noun
disruptive technology,noun-noun
diss song,idiom
dissenting opinion,noun-noun
dissipation function,noun-noun
dissociation energy,noun-noun
dissociative disorder,noun-noun
dissolve into,participle verb
dissolving agent,noun-noun
distaff side,noun-noun
distance formula,noun-noun
distance learning,noun-noun
distance lends enchantment to the view,idiom
distance multiplier,noun-noun
distance vision,noun-noun
distilled water,noun-noun
distinctive feature,noun-noun
distress call,noun-noun
distress signal,noun-noun
distressed price,noun-noun
distributed fire,noun-noun
distribution board,noun-noun
distribution channel,noun-noun
distribution law,noun-noun
distribution list,noun-noun
distribution panel,noun-noun
distributive shock,noun-noun
distributor cam,noun-noun
distributor cap,noun-noun
distributor point,noun-noun
district attorney,noun-noun
district council,noun-noun
district court,noun-noun
district line,noun-noun
district nurse,noun-noun
distrito federal,noun-noun
disulfide bond,noun-noun
ditch digger,noun-noun
ditch him,idiom
ditch reed,noun-noun
ditch spade,noun-noun
dithered color,noun-noun
ditto mark,idiom
ditto marks,idiom
ditty bag,idiom
diurnal parallax,noun-noun
diurnal variation,noun-noun
divan bed,noun-noun
dive bomber,noun-noun
dive brake,noun-noun
dive in,idiom
dive in headfirst,idiom
dive into,idiom
dive off,idiom
divergent thinking,noun-noun
diverging lens,noun-noun
diversity jurisdiction,noun-noun
divide and conquer,idiom
divide and rule,idiom
divide into,idiom
divide off,idiom
divide opinion,idiom
divide up,idiom
divided highway,noun-noun
divided up,idiom
dividend policy,noun-noun
dividend warrant,noun-noun
dividing line,noun-noun
divina commedia,noun-noun
divine grace,idiom
divine guidance,idiom
divine law,idiom
divine office,idiom
divine revelation,idiom
divine right,idiom
divine right of kings,idiom
divine service,idiom
divine unity,idiom
divine worship,idiom
diving beetle,noun-noun
diving bell,noun-noun
diving board,noun-noun
diving dress,noun-noun
diving helmet,noun-noun
diving petrel,noun-noun
diving scooter,noun-noun
diving suit,noun-noun
divining rod,noun-noun
divinity fudge,noun-noun
divisibility sequence,noun-noun
division bell,noun-noun
division eubacteria,noun-noun
division lobby,noun-noun
division of labor,noun-noun
division sign,noun-noun
divorce court,noun-noun
divorce papers,noun-noun
divorce proceedings,noun-noun
divorced man,noun-noun
divvy out,idiom
divvy up,idiom
dixie cup,noun-noun
dizygotic twin,noun-noun
dj turntable,noun-noun
dmz host,noun-noun
DNA chip,noun-noun
DNA fingerprint,noun-noun
DNA fingerprinting,noun-noun
DNA ladder,noun-noun
DNA profiling,noun-noun
DNA test,noun-noun
do a,idiom
do a 180,idiom
do a bunk,idiom
do a deal,idiom
do a dime,idiom
do a disappearing act,idiom
do a double act,idiom
do a double take,idiom
do a double-take,idiom
do a favor,idiom
do a final check,idiom
do a gig,idiom
do a good office,idiom
do a good turn,idiom
do a handout,idiom
do a job,idiom
do a journey,idiom
do a moonie,idiom
do a number on,idiom
do a presentation,idiom
do a rehearsal,idiom
do a review,idiom
do a run,idiom
do a shift,idiom
do a slow burn,idiom
do a study,idiom
do a survey,idiom
do a tour,idiom
do a turn,idiom
do a vanishing act,idiom
do a world of good,idiom
do all the hard work,idiom
do an about face,idiom
do an analysis,idiom
do an assignment,idiom
do an expansion,idiom
do an interview,idiom
do an opinion poll,idiom
"do as i say, not as i do",idiom
do as you would be done by,idiom
do away,idiom
do away with,idiom
do battle with someone,idiom
do better,idiom
do business,idiom
do business with,idiom
do by,idiom
do credit,idiom
do damage,idiom
do down,idiom
do drugs,idiom
do for,idiom
do good,idiom
do harm,idiom
do his share,idiom
do homework,idiom
do honor,idiom
do i know you,idiom
do in,idiom
do in cold blood,idiom
do insurance,idiom
do it,idiom
do it the hard way,idiom
do it tough,idiom
do job,idiom
do judo,idiom
do justice,idiom
do kindness,idiom
do long division,idiom
do loop,idiom
do lunch,idiom
do manual work,idiom
do me,idiom
do me a lemon,idiom
do me in,idiom
do more harm than good,idiom
do my share,idiom
do not be surprised,idiom
do not disturb,idiom
do not enter,idiom
do not enter sign,idiom
do not even think about,idiom
do not give a darn,idiom
do not judge a book by its cover,idiom
do not let someone fool you,idiom
do not pass go,idiom
do not walk sign,idiom
do not want,idiom
do nothing by halves,idiom
do off,idiom
do one,idiom
do one on us,idiom
do one's best,idiom
do one's bit,idiom
do one's block,idiom
do one's business,idiom
do one's damnedest,idiom
do one's darnedest,idiom
do one's homework,idiom
do one's thing,idiom
do or die,idiom
do our share,idiom
do out,idiom
do out of,idiom
do over,idiom
do paperwork,idiom
do physical exercise,idiom
do re-wiring,idiom
do repair,idiom
do research,idiom
do right by,idiom
do service,idiom
do services,idiom
do so,idiom
do somebody's dirty work,idiom
do someone a world of good,idiom
do someone dirty,idiom
do someone proud,idiom
do someone's dirty work,idiom
do someone's hair,idiom
do someone's head in,idiom
do something against the clock,idiom
do something around the clock,idiom
do something at the drop of a hat,idiom
do something behind closed doors,idiom
do something by the book,idiom
do something for all you're worth,idiom
do something from scratch,idiom
do something in one's own time,idiom
do something in one's sleep,idiom
do something in spades,idiom
do something justice,idiom
do something like there's no tomorrow,idiom
do something on the spot,idiom
do something right off the bat,idiom
do something to one's heart's content,idiom
do surgery,idiom
do the cooking,idiom
do the deed,idiom
do the dishes,idiom
do the hard yards,idiom
do the hiring and firing,idiom
do the honors,idiom
do the honours,idiom
do the laundry,idiom
do the math,idiom
do the nasty,idiom
do the right thing,idiom
do the run,idiom
do the shopping,idiom
do the spadework,idiom
do the table,idiom
do the town,idiom
do the trick,idiom
do the walk,idiom
do time,idiom
do to,idiom
do training,idiom
do unto others as you would have them do to you,idiom
do unto others as you would have them do unto you,idiom
do up,idiom
do well,idiom
do well by,idiom
do well by doing good,idiom
do well for oneself,idiom
do what,idiom
do with,idiom
do with mirrors,idiom
do without,idiom
do wonder for,idiom
do wonders,idiom
do work,idiom
do wrong,idiom
do you accept American dollars,idiom
do you accept credit cards,idiom
do you believe in god,idiom
do you come here often,idiom
do you follow,idiom
do you have a boyfriend,idiom
do you have a menu in english,idiom
do you have any pets,idiom
do you have children,idiom
do you kiss your mother with that mouth,idiom
do you know who I am,idiom
do you mind,idiom
do you need help,idiom
do you speak english,idiom
do you speak something,idiom
do your own thing,idiom
do your part,idiom
do your utmost,idiom
do yourself a favor,idiom
do yourself proud,idiom
do-or-die,idiom
dob in,idiom
dob in for,idiom
dob in to,idiom
doberman pinscher,idiom
dobermann pinscher,idiom
doc martens,idiom
dock connector,idiom
dock walloper,idiom
dock worker,idiom
dock your pay,idiom
docket sheet,noun-noun
docketing software,noun-noun
docking facility,noun-noun
docking fee,noun-noun
docking station,noun-noun
docosahexaenoic acid,noun-noun
docosapentaenoic acid,noun-noun
doctor bill,noun-noun
doctor of arts,noun-noun
doctor of philosophy,noun-noun
doctor of science,noun-noun
doctor of the church,noun-noun
doctor up,idiom
doctor's  office,noun-noun
doctor's degree,noun-noun
doctor's orders,noun-noun
doctoral degree,noun-noun
doctoral thesis,noun-noun
doctors make the worst patients,idiom
document case,noun-noun
document image management,noun-noun
document retrieval,noun-noun
documentary film,noun-noun
dodge a bullet,idiom
dodge ball,noun-noun
dodge city,noun-noun
dodgem car,noun-noun
doeglic acid,noun-noun
does anyone here speak english,idiom
does Macy's tell Gimbel's,idiom
does not compute,idiom
doesn't add up,idiom
doesn't have both oars in the water,idiom
doesn't mince words,idiom
doesn't wash,idiom
doff your hat,idiom
dog and bone,idiom
dog and cat,idiom
dog and pony show,idiom
dog around,idiom
dog bag,idiom
dog bent,idiom
dog biscuit,idiom
dog bite,idiom
dog bone,noun-noun
dog breeding,noun-noun
dog cart,noun-noun
dog catcher,noun-noun
dog collar,noun-noun
dog days,idiom
dog days of summer,idiom
dog dinner,idiom
dog do,idiom
dog doo,idiom
dog eat dog,idiom
dog fight,idiom
dog flea,idiom
dog food,idiom
dog fox,idiom
dog grass,idiom
dog handler,idiom
dog hobble,idiom
dog hook,idiom
dog house,idiom
dog in the hunt,idiom
dog in the manger,idiom
dog it,idiom
dog kennel,idiom
dog me,idiom
dog mercury,idiom
dog my cats,idiom
dog on,idiom
dog paddle,idiom
dog poop,idiom
dog pound,idiom
dog racing,idiom
dog rose,idiom
dog show,idiom
dog sled,idiom
dog sleigh,idiom
dog somebody's footsteps,idiom
dog star,idiom
dog tag,idiom
dog tags,idiom
dog tired,idiom
dog turd,idiom
dog warden,idiom
dog wrench,idiom
dog-and-pony show,idiom
dog-eared,idiom
dog-eat-dog,idiom
dog-tooth check,idiom
dog's age,idiom
dog's bollocks,idiom
dog's breakfast,idiom
dog's dinner,idiom
dog's life,idiom
dogged by bad luck,idiom
doggie bag,idiom
doggie door,idiom
doggonit,idiom
doggy bag,idiom
doggy do,idiom
doggy doo,idiom
doggy paddle,idiom
doggy woggy,idiom
dogs and cats,idiom
dogs bark,idiom
dolce far niente,idiom
dolce vita,idiom
dole out,idiom
dole queue,idiom
doled out,idiom
doll house,idiom
doll up,idiom
doll's house,noun-noun
dollar bill,noun-noun
dollar day,idiom
dollar diplomacy,idiom
dollar for dollar,idiom
dollar mark,idiom
dollar sign,noun-noun
dollar store,noun-noun
dollars to donuts,idiom
dollars to doughnuts,idiom
dolled up,idiom
dolls' houses,idiom
dolly bird,idiom
dolly mixture,idiom
dolman jacket,idiom
dolphin kick,idiom
domain name,noun-noun
domain of discourse,idiom
dome light,noun-noun
dome tent,noun-noun
domed roof,noun-noun
domesday book,idiom
domestic animal,noun-noun
domestic appliance,noun-noun
domestic cat,noun-noun
domestic dog,noun-noun
domestic duck,noun-noun
domestic flight,noun-noun
domestic goddess,idiom
domestic help,idiom
domestic partner,noun-noun
domestic partnership,noun-noun
domestic pigeon,noun-noun
domestic science,noun-noun
domestic servant,noun-noun
domestic service,noun-noun
domestic sheep,noun-noun
domestic violence,noun-noun
domestic worker,noun-noun
domesticated animal,noun-noun
dominant allele,noun-noun
dominant gene,noun-noun
dominican order,noun-noun
dominion day,noun-noun
domino effect,idiom
domino theory,idiom
don juan,idiom
don quixote,idiom
"don't ask, don't tell",idiom
don't bank on something,idiom
"don't be a fool, wrap your tool",idiom
don't be a stranger,idiom
don't be surprised,idiom
don't bite the hand that feeds you,idiom
don't borrow trouble,idiom
don't burn your bridges behind you,idiom
"don't call us, we'll call you",idiom
don't cast your pearls before swine,idiom
don't change horses in midstream,idiom
don't count your chickens before they are hatched,idiom
don't count your chickens before they hatch,idiom
don't count your chickens before they're hatched,idiom
don't cross the bridge till you come to it,idiom
don't cry over spilt milk,idiom
don't cut off your nose to spite your face,idiom
don't die like I did,idiom
don't do anything I wouldn't do,idiom
don't drive faster than your guardian angel can fly,idiom
don't drop the soap,idiom
don't eat that,idiom
don't even get me start,idiom
don't even think about,idiom
don't feed the trolls,idiom
don't forget,idiom
"don't get mad, get even",idiom
don't get me started,idiom
don't get me wrong,idiom
don't get smart with me,idiom
don't give a darn,idiom
don't give me any of your lip,idiom
don't give up the day job,idiom
don't give up your day job,idiom
don't go away mad; just go away,idiom
don't go there,idiom
don't hand me that,idiom
don't have a clue,idiom
don't have a cow,idiom
don't have a cow over it,idiom
don't hold your breath,idiom
don't judge a book by it cover,idiom
don't keep a dog and bark yourself,idiom
don't knock it,idiom
don't knock it till you've tried it,idiom
don't knock yourself out,idiom
don't know,idiom
don't know him from adam,idiom
don't know the first thing about it,idiom
don't know the half of it,idiom
don't know whether you're coming or going,idiom
don't know which end is up,idiom
don't know which side your bread is buttered on,idiom
don't leave your manners on the doorstep,idiom
don't let the bastards grind you down,idiom
don't let the bedbugs bite,idiom
don't let the cat out of the bag,idiom
don't let the door hit you on the way out,idiom
don't let the grass grow under your feet,idiom
don't look a gift horse in the mouth,idiom
don't look at me,idiom
don't make a mountain out of a molehill,idiom
don't make me laugh,idiom
don't make no nevermind,idiom
don't make waves,idiom
don't meet troubles half-way,idiom
don't mention it,idiom
don't mind if I do,idiom
don't mix business with pleasure,idiom
don't pass go,idiom
don't push your luck,idiom
don't put all your eggs in one basket,idiom
don't put new wine into old bottles,idiom
don't put the cart before the horse,idiom
don't quit your day job,idiom
don't rock the boat,idiom
don't rub it in,idiom
don't shoot the messenger,idiom
don't shut the stable door after the horse has bolted,idiom
don't spoil the ship for a ha'porth of tar,idiom
don't sweat it,idiom
don't sweat the small stuff,idiom
don't take any wooden nickels,idiom
don't teach your grandma to suck eggs,idiom
don't teach your grandmother how to suck eggs,idiom
don't think so,idiom
don't throw good money after bad,idiom
don't throw pearls to swine,idiom
don't throw the baby out with the bathwater,idiom
don't trust anyone over thirty,idiom
don't try to run before you can walk,idiom
don't try to teach your grandma to suck eggs,idiom
don't try to walk before you can crawl,idiom
don't upset the apple-cart,idiom
don't want to go there,idiom
don't wash your dirty linen in public,idiom
don't worry,idiom
donation jar,idiom
done a runner,idiom
done and done,idiom
done and dusted,idiom
done deal,idiom
done for,idiom
done good,idiom
done in,idiom
done it all,idiom
done thing,idiom
done to a turn,idiom
done up,idiom
done with,idiom
done with it,idiom
doner kebab,noun-noun
donkey boiler,noun-noun
donkey cart,noun-noun
donkey derby,noun-noun
donkey ears,noun-noun
donkey engine,noun-noun
donkey jacket,noun-noun
donkey pump,noun-noun
donkey vote,noun-noun
donkey work,idiom
donkey's ears,noun-noun
donkey's years,idiom
donkey's years ago,idiom
donor card,noun-noun
doolally tap,idiom
doom and gloom,idiom
doom and gloom merchants,idiom
doom sayer,idiom
doomsday book,idiom
doomsday cult,idiom
doomsday device,idiom
doomsday event,idiom
doomsday weapon,idiom
door bell,noun-noun
door bolt plate,noun-noun
door chime,noun-noun
door closer,noun-noun
door furniture,noun-noun
door guard,noun-noun
door handle,noun-noun
door hanger,noun-noun
door hinge,noun-noun
door jamb,noun-noun
door key,noun-noun
door knob,noun-noun
door knocker,noun-noun
door latch,noun-noun
door lever,noun-noun
door lock,noun-noun
door mat,noun-noun
door panel,noun-noun
door prize,noun-noun
door seal,noun-noun
door sign,noun-noun
door stop,noun-noun
door threshold,noun-noun
door to door,idiom
door viewer,idiom
dope off,idiom
dope out,idiom
dope sheet,idiom
dope test,idiom
dope up,idiom
doped up,noun-noun
doppler effect,noun-noun
doppler radar,noun-noun
doppler shift,noun-noun
doppler sonar,noun-noun
Dorian Gray,noun-noun
dorking fowl,noun-noun
dorm room,noun-noun
dormer window,noun-noun
dormitive principle,noun-noun
dormitive virtue,noun-noun
dormitory room,noun-noun
dormitory suburb,noun-noun
dormitory town,noun-noun
dorsal fin,noun-noun
dos and don'ts,idiom
dose up,idiom
doss about,idiom
doss around,idiom
doss down,idiom
doss house,idiom
dot dot dot,idiom
dot matrix,idiom
dot matrix printer,idiom
dot printer,idiom
dot product,idiom
dot the i's and cross the t's,idiom
dot-matrix printer,idiom
dote on,idiom
dote upon,idiom
dotriacontanoic acid,noun-noun
dotted line,noun-noun
double act,noun-noun
double agent,noun-noun
double as,noun-noun
double back,noun-noun
double bar,noun-noun
double bar line,noun-noun
double bass,noun-noun
double bassist,noun-noun
double bassoon,noun-noun
double bed,noun-noun
double bill,noun-noun
double bind,noun-noun
double birdie,noun-noun
double blind,noun-noun
double bluff,noun-noun
double bogey,noun-noun
double boiler,noun-noun
double bond,noun-noun
double bonus,noun-noun
double booked,noun-noun
double check,noun-noun
double chin,noun-noun
double click,noun-noun
double clinch,noun-noun
double cream,noun-noun
double creme,noun-noun
double cropping,noun-noun
double cross,noun-noun
double dagger,noun-noun
double date,noun-noun
double deck bed,noun-noun
double decker,noun-noun
double decomposition,noun-noun
double denim,noun-noun
double digit,noun-noun
double digits,noun-noun
double dip,noun-noun
double dipper,noun-noun
double dipping,noun-noun
double door,noun-noun
double down,noun-noun
double down on,noun-noun
double dribble,noun-noun
double dutch,noun-noun
double dye,noun-noun
double entendre,noun-noun
double entry,noun-noun
double fault,noun-noun
double feature,noun-noun
double figures,noun-noun
double first,noun-noun
double flat,noun-noun
double for,noun-noun
double forward,noun-noun
double glazing,noun-noun
double gold,noun-noun
double header,noun-noun
double helix,noun-noun
double hoe,noun-noun
double indemnity,noun-noun
double jeopardy,noun-noun
double knit,noun-noun
double life,noun-noun
double major,noun-noun
double negative,noun-noun
double or nothing,noun-noun
double over,noun-noun
double parked,noun-noun
double play,noun-noun
double quick,noun-noun
double quote,noun-noun
double quotes,noun-noun
double refraction,noun-noun
double replacement reaction,noun-noun
double reverse,noun-noun
double rhyme,noun-noun
double room,noun-noun
double saucepan,noun-noun
double sharp,noun-noun
double standard,noun-noun
double star,noun-noun
double steal,noun-noun
double stitch,noun-noun
double stopping,noun-noun
double straddle,noun-noun
double take,noun-noun
double taker,noun-noun
double talk,noun-noun
double tap,noun-noun
double time,noun-noun
double tongue,noun-noun
double trouble,idiom
double up,idiom
double up as,idiom
double up on,idiom
double up with,idiom
double vision,idiom
double whammy,idiom
double wide,idiom
double yellow line,noun-noun
double-barrelled name,noun-noun
double-blind experiment,noun-noun
double-blind procedure,noun-noun
double-blind study,noun-noun
double-breasted,noun-noun
double-breasted suit,noun-noun
double-check,idiom
double-cross,idiom
double-decker,noun-noun
double-decker bus,noun-noun
double-decker sandwich,noun-noun
double-digit,noun-noun
double-edged sword,idiom
double-entry bookkeeping,noun-noun
double-hung window,noun-noun
double-jointed,noun-noun
double-park,noun-noun
double-reed instrument,noun-noun
double-spaced,noun-noun
double-talk,idiom
double-tongued,idiom
doubly transitive verb,noun-noun
doubt is the beginning not the end of wisdom,idiom
doubting thomas,idiom
douche bag,idiom
dough head,idiom
dough mixer,noun-noun
douglas fir,noun-noun
doum fruit,noun-noun
doum palm,noun-noun
douse the glim,noun-noun
dove grey,idiom
dovetail joint,idiom
Dow Jones,noun-noun
Dow Jones Average,noun-noun
Dow Jones Index,noun-noun
Dow Jones Industrial Average,noun-noun
dowel pin,noun-noun
dowel rod,noun-noun
down a peg,idiom
down and dirty,idiom
down and out,idiom
down at heel,idiom
down coat,noun-noun
down cold,noun-noun
down fall,idiom
down feather,idiom
down for the count,idiom
down home,idiom
down in the dumps,idiom
down in the mouth,idiom
down jacket,idiom
down memory lane,idiom
down my throat,idiom
down on his luck,idiom
down on one's luck,idiom
down one's alley,idiom
down pat,idiom
down payment,idiom
down quark,idiom
down side,idiom
down syndrome,noun-noun
down the drain,idiom
down the garden path,idiom
down the gurgler,idiom
down the hatch,idiom
down the line,idiom
down the pan,idiom
down the pike,idiom
down the road,idiom
down the stairs,idiom
down the toilet,idiom
down the track,idiom
down the tubes,idiom
down time,idiom
down to a fine art,idiom
down to a t,idiom
down to brass tacks,idiom
down to earth,idiom
down to fine art,idiom
down to the short strokes,idiom
down to the wire,idiom
down town,idiom
down tube,idiom
down under,idiom
down vest,idiom
down with,idiom
down with his apple-cart,idiom
down your alley,idiom
down-and-outer,idiom
down-to-earth,idiom
Down's syndrome,noun-noun
downey heads,noun-noun
downhill all the way,idiom
downhill skiing,noun-noun
Downing Street,noun-noun
downlight,idiom
downpipe,idiom
downside potential,noun-noun
downspout,noun-noun
downwardly mobile,noun-noun
downy cheat,idiom
downy chess,idiom
dowsing rod,idiom
doze off,idiom
Dr Jekyll and Mr Hyde,idiom
dr martens,noun-noun
draft animal,noun-noun
draft apart,noun-noun
draft beer,noun-noun
draft board,noun-noun
draft card,noun-noun
draft copy,noun-noun
draft dodger,noun-noun
draft evader,noun-noun
draft horse,noun-noun
draft in,idiom
draft off,idiom
draft out,idiom
draft response,noun-noun
drafting board,noun-noun
drafting instrument,noun-noun
drafting table,noun-noun
drag a bunt,idiom
drag away,idiom
drag bunt,idiom
drag by,idiom
drag down,idiom
drag down to,idiom
drag in,idiom
drag into,idiom
drag it out,idiom
drag king,idiom
drag on,idiom
drag one's feet,idiom
drag out,idiom
drag out of,idiom
drag queen,idiom
drag race,idiom
drag racer,idiom
drag racing,idiom
drag someone into the 21st century,idiom
drag someone kicking and screaming,idiom
drag someone through the mud,idiom
drag strip,idiom
drag the chain,idiom
drag through the mud,idiom
drag up,idiom
drag your feet,idiom
drag your heels,idiom
dragged through a,idiom
dragged through a hedge backwards,idiom
dragging his heels,idiom
dragon blood,idiom
dragon boat,idiom
dragon dance,idiom
dragon eye,idiom
dragon fly,idiom
dragon head,idiom
dragon lady,idiom
dragon mask,idiom
dragon mouth,idiom
dragon's wort,idiom
dragoon into,idiom
drain basket,idiom
drain cleaner,idiom
drain grate,noun-noun
drain off,idiom
drain the cup,idiom
drain the main vein,idiom
drain the swamp,idiom
drainage area,idiom
drainage basin,idiom
drainage ditch,idiom
drainage pipe,idiom
drainage system,idiom
draining board,idiom
drainpipe trousers,idiom
drama critic,idiom
drama department,idiom
drama queen,idiom
drama series,idiom
dramatic composition,idiom
dramatic event,idiom
dramatic irony,idiom
dramatic performance,idiom
dramatic play,idiom
dramatic production,idiom
dramatic work,idiom
dramatis personae,idiom
drastic reforms,idiom
drastic times call for drastic measures,idiom
drat it,idiom
draught beer,idiom
draught board,idiom
draught excluder,idiom
draught horse,idiom
draughts board,idiom
draw a bath,idiom
draw a bead on,idiom
draw a blank,idiom
draw a conclusion,idiom
draw a line,idiom
draw a line in the sand,idiom
draw a plan,idiom
draw a sigh,idiom
draw a sober breath,idiom
draw a wave of protest,idiom
draw and quarter,idiom
draw attention,idiom
draw attention to,idiom
draw away,idiom
draw back,idiom
draw back from,idiom
draw breath,idiom
draw close,idiom
draw conclusion,idiom
draw down,idiom
draw down from,idiom
draw down on,idiom
draw drapery,idiom
draw even,idiom
draw fire,idiom
draw first blood,idiom
draw from,idiom
draw in,idiom
draw inferences,idiom
draw interest,idiom
draw into,idiom
draw it to my attention,idiom
draw near,idiom
draw nigh,idiom
draw off,idiom
draw on,idiom
draw on expertise,idiom
draw one's last breath,idiom
draw out,idiom
draw play,idiom
draw raise,idiom
draw rein,idiom
draw string,idiom
draw stumps,idiom
draw support,idiom
draw the attention,idiom
draw the curtains,idiom
draw the ire,idiom
draw the line,idiom
draw the plans,idiom
draw the short straw,idiom
draw their fire,idiom
draw up,idiom
draw upon,idiom
draw your horns in,idiom
drawer slides,noun-noun
drawing board,noun-noun
drawing card,noun-noun
drawing chalk,noun-noun
drawing ink,noun-noun
drawing off,idiom
drawing paper,noun-noun
drawing pin,noun-noun
drawing power,noun-noun
drawing room,noun-noun
drawing string,noun-noun
drawing table,noun-noun
drawing tablet,noun-noun
drawn butter,noun-noun
drawn out,idiom
drawstring bag,noun-noun
dray horse,noun-noun
dream away,noun-noun
dream catcher,noun-noun
dream of,idiom
dream on,idiom
dream scene,idiom
dream team,idiom
dream ticket,idiom
dream up,idiom
dream world,idiom
dreaming track,idiom
dreams of empire,idiom
dredge up,idiom
dredging bucket,noun-noun
drenched in,idiom
dress circle,noun-noun
dress clothes,noun-noun
dress coat,noun-noun
dress code,noun-noun
dress designer,noun-noun
dress down,idiom
dress down day,idiom
dress form,noun-noun
dress hanger,noun-noun
dress hat,noun-noun
dress maker,noun-noun
dress out,idiom
dress parade,noun-noun
dress rack,noun-noun
dress rehearsal,noun-noun
dress sense,noun-noun
dress ship,noun-noun
dress shirt,noun-noun
dress shop,noun-noun
dress suit,noun-noun
dress the part,idiom
dress to kill,idiom
dress uniform,noun-noun
dress up,idiom
dress-down day,idiom
dressed fit to kill,idiom
dressed to kill,idiom
dressed to the nines,idiom
dressed up,idiom
dressed up to the nines,idiom
dresser drawer,idiom
dressing case,idiom
dressing down,idiom
dressing gown,noun-noun
dressing room,noun-noun
dressing sack,noun-noun
dressing station,noun-noun
dressing stick,noun-noun
dressing table,noun-noun
dressing up,idiom
dressing-down,idiom
dressmaker model,noun-noun
dribs and drabs,idiom
dried apricot,noun-noun
dried apricots,noun-noun
dried cherries,noun-noun
dried fruit,noun-noun
dried milk,noun-noun
dried mushrooms,noun-noun
dried plums,noun-noun
dried seaweed,noun-noun
dried up,idiom
drift apart,idiom
drift away,idiom
drift net,idiom
drift off,idiom
drifting snow,idiom
drill bit,noun-noun
drill down,idiom
drill down through,idiom
drill driver,noun-noun
drill hole,noun-noun
drill in,idiom
drill instructor,noun-noun
drill into,idiom
drill jar,noun-noun
drill master,noun-noun
drill press,noun-noun
drill rig,noun-noun
drill rod,noun-noun
drill sergeant,noun-noun
drill steel,noun-noun
drill team,noun-noun
drilling bit,noun-noun
drilling pipe,noun-noun
drilling platform,noun-noun
drilling rig,noun-noun
drink and drive,participle verb
drink coaster,noun-noun
drink down,idiom
drink drive,idiom
drink driver,idiom
drink from a firehose,idiom
drink glass,noun-noun
drink holder,noun-noun
drink in,idiom
drink like a fish,idiom
drink problem,idiom
drink someone under the table,idiom
drink to,idiom
drink together,idiom
drink up,idiom
drink you under the table,idiom
drinking age,idiom
drinking bottle,idiom
drinking bout,idiom
drinking box,idiom
drinking chocolate,noun-noun
drinking cup,noun-noun
drinking fountain,noun-noun
drinking glass,noun-noun
drinking problem,noun-noun
drinking song,noun-noun
drinking straw,noun-noun
drinking vessel,noun-noun
drinking water,noun-noun
drinking-up time,idiom
drinks machine,noun-noun
drinks party,noun-noun
drip coffee,noun-noun
drip culture,idiom
drip feed,noun-noun
drip loop,noun-noun
drip mat,noun-noun
drip mold,noun-noun
drip mould,noun-noun
drip pan,noun-noun
drip pot,noun-noun
drip tray,noun-noun
drip-dry,noun-noun
dripping pan,noun-noun
dripping wet,idiom
drive a hard bargain,idiom
drive a nail in her coffin,idiom
drive a nail in his coffin,idiom
drive a nail in the coffin,idiom
drive a wedge between,idiom
drive around,idiom
drive at,idiom
drive away,idiom
drive back,idiom
drive bay,idiom
